text,x,y,layer,entity_type,source
FH(L):41.17,-15750023.437429331,3350389.0811115745,블럭체인계획고,BLOCK_TEXT,virtual_block
41.172,-15750023.437447451,3350389.08116653,블록계획고점,BLOCK_TEXT,virtual_block
FH(L):41.19,-15744589.022072993,3351978.3356591277,블럭체인계획고,BLOCK_TEXT,virtual_block
41.190,-15744597.098738573,3352005.651092315,블록계획고점,BLOCK_TEXT,virtual_block
41.172,-15750589.80918207,3352307.2174629215,블록계획고점,BLOCK_TEXT,virtual_block
FH(L):41.20,-15742669.424204357,3352539.7362117087,블럭체인계획고,BLOCK_TEXT,virtual_block
FH(L):41.20,-15740749.858458795,3353101.2075994937,블럭체인계획고,BLOCK_TEXT,virtual_block
FH(L):41.20,-15740749.858468913,3353101.207633758,블럭체인계획고,BLOCK_TEXT,virtual_block
(대표번호 : 02-6238-0701),-15668873.235333577,3353185.1935041323,FTEXT,BLOCK_TEXT,virtual_block
H-28,-15971043.683027547,3353431.126750581,#시추위치_탄성파탐사,BLOCK_TEXT,virtual_block
365,-15773225.790225687,3353527.852940669,$$_PILE,BLOCK_TEXT,virtual_block
NO. 19,-15938685.660422228,3353706.314064527,블럭체인계획고,BLOCK_TEXT,virtual_block
A7,-15993154.357124435,3353812.7513692393,열넘버-ER,BLOCK_TEXT,virtual_block
EL+35.04m,-15962910.954232214,3353831.3477208796,T-text,BLOCK_TEXT,virtual_block
41.190,-15745163.470456026,3353923.7873335127,블록계획고점,BLOCK_TEXT,virtual_block
FH:40.36,-15937573.56352745,3354044.928079674,블럭체인계획고,BLOCK_TEXT,virtual_block
40.172,-15751156.180900477,3354225.353704119,블록계획고점,BLOCK_TEXT,virtual_block
D,-15834910.209984848,3355105.188285868,계산용단면,BLOCK_TEXT,virtual_block
40.190,-15745729.842174433,3355841.923574591,블록계획고점,BLOCK_TEXT,virtual_block
책임설계자,-15668598.813887436,3355885.5984102082,FTEXT,BLOCK_TEXT,virtual_block
H-2,-15899249.554867933,3356134.9134265995,#시추위치_탄성파탐사,BLOCK_TEXT,virtual_block
614동,-15960527.842972232,3356391.825571735,RGB255,BLOCK_TEXT,virtual_block
46.396,-15997973.109136485,3356745.085435057,블록계획고점,BLOCK_TEXT,virtual_block
완충녹지,-15996016.437040363,3357087.0600893176,_CT_택지현황,BLOCK_TEXT,virtual_block
H-9,-15777198.281521091,3357613.027541614,#시추위치_탄성파탐사,BLOCK_TEXT,virtual_block
EL+31.54m,-15850695.701955443,3357855.9346780484,T-text,BLOCK_TEXT,virtual_block
A8,-15993154.357124437,3358673.2948474917,열넘버-ER,BLOCK_TEXT,virtual_block
NO. 18,-15919447.732428454,3359178.2520591263,블럭체인계획고,BLOCK_TEXT,virtual_block
FH:40.39,-15918335.635533676,3359516.8660742734,블럭체인계획고,BLOCK_TEXT,virtual_block
이 찬 식,-15652945.910244,3360162.6960893567,FTEXT,BLOCK_TEXT,virtual_block
603동,-15848312.59069546,3360416.4125289037,RGB255,BLOCK_TEXT,virtual_block
067,-15973554.523461094,3362135.2170602735,$$_PILE,BLOCK_TEXT,virtual_block
345,-15745419.926904274,3362197.963570616,$$_PILE,BLOCK_TEXT,virtual_block
P.C Strand Ø12.7mm,-16011259.583638262,3362296.43120785,-$$TEXT,BLOCK_TEXT,virtual_block
ARCHITECT NAME,-15659364.388504868,3362787.6960893553,FTEXT,BLOCK_TEXT,virtual_block
건축사명,-15659364.388504868,3364287.696089355,FTEXT,BLOCK_TEXT,virtual_block
제거식 E/ANCHOR,-16011860.429417126,3364374.604004567,-$$TEXT,BLOCK_TEXT,virtual_block
NO. 17,-15900271.897993945,3364860.4828753714,블럭체인계획고,BLOCK_TEXT,virtual_block
066,-15979104.548462307,3365027.726233661,$$_PILE,BLOCK_TEXT,virtual_block
FH:40.33,-15899159.801098213,3365199.0968905184,블럭체인계획고,BLOCK_TEXT,virtual_block
H-11,-15751727.486904604,3365213.987456509,#시추위치_탄성파탐사,BLOCK_TEXT,virtual_block
F,-15800675.182246793,3365434.5710727014,계산용단면,BLOCK_TEXT,virtual_block
S=1:1.5,-15899149.413531799,3365615.836503902,터파기,BLOCK_TEXT,virtual_block
FH(L):41.20,-15744434.704331674,3365700.8071365682,블럭체인계획고,BLOCK_TEXT,virtual_block
A9,-15993154.357124437,3365873.294847976,열넘버-ER,BLOCK_TEXT,virtual_block
+52.40,-16033636.327043729,3365975.511447978,LEVEL,BLOCK_TEXT,virtual_block
DESIGN,-15668420.17994508,3366897.0873628478,FTEXT,BLOCK_TEXT,virtual_block
Y1,-15730955.068646792,3367589.5920623476,열넘버-ER,BLOCK_TEXT,virtual_block
F1,-15788953.317893865,3368127.2293947632,계산용단면,BLOCK_TEXT,virtual_block
EL+31.34m,-15767228.81640144,3369218.6966273165,T-text,BLOCK_TEXT,virtual_block
H-34,-15921484.813310796,3369311.206494988,#시추위치_탄성파탐사,BLOCK_TEXT,virtual_block
A10,-15993644.791907042,3369868.947021454,열넘버-ER,BLOCK_TEXT,virtual_block
설 계,-15667409.225461384,3370397.087362875,FTEXT,BLOCK_TEXT,virtual_block
A,-15997842.148792697,3370469.1730262744,계산용단면,BLOCK_TEXT,virtual_block
A,-15959547.953500314,3370469.1730692177,계산용단면,BLOCK_TEXT,virtual_block
NO. 16,-15881096.182408236,3370543.1162005905,블럭체인계획고,BLOCK_TEXT,virtual_block
FH:40.38,-15879984.085514411,3370881.7302157376,블럭체인계획고,BLOCK_TEXT,virtual_block
605동,-15764845.705141457,3371779.174478172,RGB255,BLOCK_TEXT,virtual_block
Y2,-15732719.080961794,3373621.2823849926,열넘버-ER,BLOCK_TEXT,virtual_block
+47.40,-16009463.484295493,3374227.377277295,LEVEL,BLOCK_TEXT,virtual_block
G,-15766058.61394989,3375389.8274423005,계산용단면,BLOCK_TEXT,virtual_block
NO. 15+2.55,-15864368.85326948,3375500.181647802,블럭체인계획고,BLOCK_TEXT,virtual_block
NO. 15,-15861920.466814898,3376225.749495173,블럭체인계획고,BLOCK_TEXT,virtual_block
H-6,-15842302.853573928,3376260.9963071793,#시추위치_탄성파탐사,BLOCK_TEXT,virtual_block
DRAWING OFFICE NAME,-15659364.388504868,3376287.6960893488,FTEXT,BLOCK_TEXT,virtual_block
FH:40.38,-15860808.369919166,3376564.36351032,블럭체인계획고,BLOCK_TEXT,virtual_block
A11,-15993644.791907042,3376855.3600655016,열넘버-ER,BLOCK_TEXT,virtual_block
설계사무소명,-15659364.388504868,3377787.6960893483,FTEXT,BLOCK_TEXT,virtual_block
EL+35.09m,-15930107.99317625,3380147.4497502516,T-text,BLOCK_TEXT,virtual_block
Y3,-15734631.650353853,3380160.934175024,열넘버-ER,BLOCK_TEXT,virtual_block
FH:40.87,-15717421.389138406,3381563.8113658056,도로체인계획고,BLOCK_TEXT,virtual_block
A12,-15993644.79190704,3381755.3600644567,열넘버-ER,BLOCK_TEXT,virtual_block
NO. 14,-15842744.751219653,3381908.382786179,블럭체인계획고,BLOCK_TEXT,virtual_block
NO.0,-15715818.530239187,3382032.579272764,도로체인번호,BLOCK_TEXT,virtual_block
FH:40.44,-15841632.654324874,3382246.996801326,블럭체인계획고,BLOCK_TEXT,virtual_block
지하1층주차장,-15931792.816698877,3382707.927601107,RGB255,BLOCK_TEXT,virtual_block
0.735%%%,-15904118.057841396,3383684.1162779275,블럭-횡방향구배,BLOCK_TEXT,virtual_block
FH(L):41.20,-15750048.69123391,3384896.7220942704,블럭체인계획고,BLOCK_TEXT,virtual_block
Y4,-15736175.344194336,3385439.2891613166,열넘버-ER,BLOCK_TEXT,virtual_block
H-3,-15870076.190780837,3385629.2908614865,#시추위치_탄성파탐사,BLOCK_TEXT,virtual_block
NO. 13,-15823569.035613917,3387591.0160409454,블럭체인계획고,BLOCK_TEXT,virtual_block
FH:40.27,-15822456.938719139,3387929.6300560925,블럭체인계획고,BLOCK_TEXT,virtual_block
H-10,-15783206.35995548,3388293.6241818126,#시추위치_탄성파탐사,BLOCK_TEXT,virtual_block
H-25,-15940869.586616406,3390243.270046344,#시추위치_탄성파탐사,BLOCK_TEXT,virtual_block
Y5,-15737723.004438605,3390731.2064788267,열넘버-ER,BLOCK_TEXT,virtual_block
일 자,-15667464.931983123,3391662.6960893422,FTEXT,BLOCK_TEXT,virtual_block
설계,-15659353.518939648,3391662.6960893422,FTEXT,BLOCK_TEXT,virtual_block
검토,-15653853.518939653,3391662.6960893422,FTEXT,BLOCK_TEXT,virtual_block
심사,-15648353.518939655,3391662.6960893422,FTEXT,BLOCK_TEXT,virtual_block
승인,-15642853.518939657,3391662.6960893422,FTEXT,BLOCK_TEXT,virtual_block
H-7,-15818382.843625309,3391887.2009850144,#시추위치_탄성파탐사,BLOCK_TEXT,virtual_block
EL+31.54m,-15897483.800878769,3392435.7330931765,T-text,BLOCK_TEXT,virtual_block
NO. 12,-15804393.320029162,3393273.6493661646,블럭체인계획고,BLOCK_TEXT,virtual_block
EL+31.54m,-15850851.87008561,3393419.451384108,T-text,BLOCK_TEXT,virtual_block
FH:40.10,-15803281.223134384,3393612.2633813117,블럭체인계획고,BLOCK_TEXT,virtual_block
602동,-15895100.689618785,3394996.210944032,RGB255,BLOCK_TEXT,virtual_block
지하2층주차장,-15852536.693608237,3395979.9292349634,RGB255,BLOCK_TEXT,virtual_block
Y6,-15739263.18953728,3395997.5640182802,열넘버-ER,BLOCK_TEXT,virtual_block
DESCRIPTION OF REVISION,-15665038.726140734,3396662.6960893394,FTEXT,BLOCK_TEXT,virtual_block
EL+35.04m,-15962051.854558233,3397596.580090147,T-text,BLOCK_TEXT,virtual_block
Y7,-15740105.135016665,3398876.4296344775,열넘버-ER,BLOCK_TEXT,virtual_block
NO. 11,-15785217.604426287,3398956.282629991,블럭체인계획고,BLOCK_TEXT,virtual_block
설 계 변 경,-15660344.008070085,3399162.6960893385,FTEXT,BLOCK_TEXT,virtual_block
FH:39.96,-15784105.507530555,3399294.896645138,블럭체인계획고,BLOCK_TEXT,virtual_block
H-4,-15902226.296689562,3400072.7830280564,#시추위치_탄성파탐사,BLOCK_TEXT,virtual_block
613동,-15959668.74329825,3400157.0579410023,RGB255,BLOCK_TEXT,virtual_block
H-35,-15850288.785472665,3400505.8295281213,#시추위치_탄성파탐사,BLOCK_TEXT,virtual_block
EL+31.34m,-15808199.808115264,3401240.914703652,T-text,BLOCK_TEXT,virtual_block
H-26,-15973587.25067545,3401565.5085079153,#시추위치_탄성파탐사,BLOCK_TEXT,virtual_block
40.823,-15973676.837171458,3401586.0467226747,블록계획고점,BLOCK_TEXT,virtual_block
+46.60,-16008227.484295463,3402113.377277176,LEVEL,BLOCK_TEXT,virtual_block
C,-15776407.948409902,3403669.5660357745,계산용단면,BLOCK_TEXT,virtual_block
604동,-15805816.69685528,3403801.392554507,RGB255,BLOCK_TEXT,virtual_block
FH(L):41.20,-15755662.678138055,3404092.6370516745,블럭체인계획고,BLOCK_TEXT,virtual_block
NO. 10,-15766041.88882818,3404638.9159120563,블럭체인계획고,BLOCK_TEXT,virtual_block
FH:39.85,-15764929.791932449,3404977.5299272034,블럭체인계획고,BLOCK_TEXT,virtual_block
Y8,-15741994.394158771,3405336.376647047,열넘버-ER,BLOCK_TEXT,virtual_block
NO. 9+14.34,-15760613.242268465,3406247.6698206905,블럭체인계획고,BLOCK_TEXT,virtual_block
S=1:1.5,-15898363.158698024,3406781.575460675,터파기,BLOCK_TEXT,virtual_block
NO. 9+12.34,-15758695.670797251,3406815.933188105,블럭체인계획고,BLOCK_TEXT,virtual_block
NO. 9+10.34,-15756778.099246882,3407384.1965258364,블럭체인계획고,BLOCK_TEXT,virtual_block
097,-15979104.548462307,3408028.7324804147,$$_PILE,BLOCK_TEXT,virtual_block
41.868,-15975602.703554057,3408108.395888949,블록계획고점,BLOCK_TEXT,virtual_block
Y9,-15742836.492192127,3408215.763891305,열넘버-ER,BLOCK_TEXT,virtual_block
45.339,-15996750.654509448,3409105.1500047687,블록계획고점,BLOCK_TEXT,virtual_block
FH(R):45.35,-15996892.187328242,3409584.4803989176,블럭체인계획고,BLOCK_TEXT,virtual_block
45.346,-15996892.247021578,3409584.682652617,블록계획고점,BLOCK_TEXT,virtual_block
45.346,-15996892.247021578,3409584.682652617,블록계획고점,BLOCK_TEXT,virtual_block
FH:41.89,-15977362.908249026,3412836.3345013037,블럭체인계획고,BLOCK_TEXT,virtual_block
Y10,-15744671.960183427,3413404.8236697693,열넘버-ER,BLOCK_TEXT,virtual_block
0.851%%%,-15833506.08166828,3413689.9539900906,블럭-종방향구배,BLOCK_TEXT,virtual_block
C,-15739653.342602132,3414418.7215843135,계산용단면,BLOCK_TEXT,virtual_block
41.912,-15977528.569936655,3414630.7450554613,블록계획고점,BLOCK_TEXT,virtual_block
EL+32.44m,-15958210.708414678,3415540.660557413,T-text,BLOCK_TEXT,virtual_block
A1,-15998608.453140523,3416585.143942766,계산용단면,BLOCK_TEXT,virtual_block
A1,-15960314.25784814,3416585.143985709,계산용단면,BLOCK_TEXT,virtual_block
저수조/펌프실,-15959734.016991649,3418101.1384082683,RGB255,BLOCK_TEXT,virtual_block
Y11,-15746211.992728107,3418670.659581084,열넘버-ER,BLOCK_TEXT,virtual_block
H-20,-15874781.292559288,3419520.4361677114,#시추위치_탄성파탐사,BLOCK_TEXT,virtual_block
EL+35.04m,-15920750.05245504,3420621.217941361,T-text,BLOCK_TEXT,virtual_block
보행자도로,-15751169.314616848,3420694.3496875353,_CT_택지현황,BLOCK_TEXT,virtual_block
H-33,-15768202.438587302,3421709.0351117486,#시추위치_탄성파탐사,BLOCK_TEXT,virtual_block
NO.5,-15751926.336914703,3422232.032502817,도로체인번호,BLOCK_TEXT,virtual_block
P.C Strand Ø12.7mm,-15747037.418352213,3422240.8525154307,-$$TEXT,BLOCK_TEXT,virtual_block
612동,-15918366.941195054,3423181.6957922163,RGB255,BLOCK_TEXT,virtual_block
FH(L):41.20,-15761276.66494874,3423288.5520362584,블럭체인계획고,BLOCK_TEXT,virtual_block
Y12,-15747755.839122584,3423949.5361955124,열넘버-ER,BLOCK_TEXT,virtual_block
FH:41.23,-15751435.309083477,3424115.5907859914,도로체인계획고,BLOCK_TEXT,virtual_block
제거식 E/ANCHOR,-15747638.264131077,3424319.0253121476,-$$TEXT,BLOCK_TEXT,virtual_block
H-17,-15843554.836156769,3425358.425292312,#시추위치_탄성파탐사,BLOCK_TEXT,virtual_block
H-8,-15813652.996714372,3426196.1846462158,#시추위치_탄성파탐사,BLOCK_TEXT,virtual_block
H-36,-15955680.394140428,3427413.550758018,#시추위치_탄성파탐사,BLOCK_TEXT,virtual_block
FH:40.50,-15731181.46918737,3428190.5598886875,도로체인계획고,BLOCK_TEXT,virtual_block
NO.0,-15729443.658718191,3428621.0043835808,도로체인번호,BLOCK_TEXT,virtual_block
+40.55,-15734623.32873641,3429257.034585971,LEVEL,BLOCK_TEXT,virtual_block
H-24,-15928605.810422378,3431396.721386402,#시추위치_탄성파탐사,BLOCK_TEXT,virtual_block
EL+31.54m,-15885045.575630479,3431614.4717029664,T-text,BLOCK_TEXT,virtual_block
114,-15971696.237350123,3432859.8061148995,$$_PILE,BLOCK_TEXT,virtual_block
S=1:1.5,-15856963.857594311,3433220.2804990415,터파기,BLOCK_TEXT,virtual_block
S=1:1.5,-15959189.033138646,3433854.5090983966,터파기,BLOCK_TEXT,virtual_block
610동,-15882662.464370493,3434174.9495538217,RGB255,BLOCK_TEXT,virtual_block
Y13,-15750847.345761329,3434520.330127453,열넘버-ER,BLOCK_TEXT,virtual_block
연결녹지,-15766006.383268714,3435000.087097983,_CT_택지현황,BLOCK_TEXT,virtual_block
Y14,-15752387.37830601,3439786.166038775,열넘버-ER,BLOCK_TEXT,virtual_block
EL(+)35.44,-15959421.419080423,3440030.0098135746,터파기,BLOCK_TEXT,virtual_block
+45.30,-16000075.484295493,3440066.3772774143,LEVEL,BLOCK_TEXT,virtual_block
"""KCS 21 30 00 가설 흙막이 공사"" 시방서에 따라야 한다.",-15728668.898567764,3441089.520228891,Text,BLOCK_TEXT,virtual_block
B1,-15927665.081430696,3441715.816039949,계산용단면,BLOCK_TEXT,virtual_block
H-12,-15791388.301750036,3441913.8472418366,#시추위치_탄성파탐사,BLOCK_TEXT,virtual_block
H-21,-15893541.737419149,3442238.8301675757,#시추위치_탄성파탐사,BLOCK_TEXT,virtual_block
FH(L):41.20,-15766890.651886843,3442484.467020178,블럭체인계획고,BLOCK_TEXT,virtual_block
P.C Strand Ø12.7mm,-15998796.914776603,3443338.99404886,-$$TEXT,BLOCK_TEXT,virtual_block
13. 기타 설계도서 및 도면에 명기되지 않은 제반 사항에 대하여는,-15731754.287453992,3443459.6270516766,Text,BLOCK_TEXT,virtual_block
EL+31.54m,-15845037.874509374,3444168.956715857,T-text,BLOCK_TEXT,virtual_block
41.016,-15965472.373505495,3444425.1185597423,블록계획고점,BLOCK_TEXT,virtual_block
H-23,-15951751.193916507,3444428.3461213186,#시추위치_탄성파탐사,BLOCK_TEXT,virtual_block
44.170,-15986504.96887865,3445031.196877146,블록계획고점,BLOCK_TEXT,virtual_block
Y15,-15753935.03855028,3445078.0833562934,열넘버-ER,BLOCK_TEXT,virtual_block
제거식 E/ANCHOR,-15999397.760555467,3445417.166845577,-$$TEXT,BLOCK_TEXT,virtual_block
S=1:1.5,-15814648.703340612,3445595.659414351,터파기,BLOCK_TEXT,virtual_block
암반사면에 대한 안정성 검토를 실시하여 한다.,-15728668.898557575,3446092.609204884,Text,BLOCK_TEXT,virtual_block
608동,-15842654.763249388,3446729.4345667125,RGB255,BLOCK_TEXT,virtual_block
S.G.R (%%C600 @500),-15943210.853011252,3447375.679914432,-$$TEXT,BLOCK_TEXT,virtual_block
42.023,-15966561.557602786,3448113.8682334665,블록계획고점,BLOCK_TEXT,virtual_block
"기초분야)를 통해 암반의 절리상태, 강도, 풍화정도를 반영한 절취",-15728668.898557575,3448334.683715663,Text,BLOCK_TEXT,virtual_block
및 암석(절리면 전단)시험등을 실시하여 해당분야 전문가(토질 및,-15728668.898557575,3450576.7582264417,Text,BLOCK_TEXT,virtual_block
FH(R):44.17,-15988388.11934843,3451408.879589105,블럭체인계획고,BLOCK_TEXT,virtual_block
44.173,-15988388.149294756,3451408.9810943846,블록계획고점,BLOCK_TEXT,virtual_block
42.030,-15967650.741699122,3451802.6179070715,블록계획고점,BLOCK_TEXT,virtual_block
FH:42.03,-15968179.396322686,3452359.692554485,블럭체인계획고,BLOCK_TEXT,virtual_block
Y16,-15756107.6514763,3452506.9024463254,열넘버-ER,BLOCK_TEXT,virtual_block
12. 수급인은 굴착 공사중 암반출현부에 지표지질조사(Face Mapping),-15731754.287443804,3452946.865049227,Text,BLOCK_TEXT,virtual_block
41.011,-15947195.915537737,3453153.275821114,블록계획고점,BLOCK_TEXT,virtual_block
EL+35.04m,-15924021.001911908,3453442.6706103818,T-text,BLOCK_TEXT,virtual_block
10M 도로,-15745173.473656831,3453654.617660423,_CT_택지현황,BLOCK_TEXT,virtual_block
단독주택,-15701829.668649519,3454957.542658747,_CT_택지현황,BLOCK_TEXT,virtual_block
42.011,-15947762.304165743,3455071.469335938,블록계획고점,BLOCK_TEXT,virtual_block
주변 환경의 피해를 최소화 하도록 하여야 한다.,-15728668.898557575,3455374.279347684,Text,BLOCK_TEXT,virtual_block
131,-15956854.672138134,3455617.916482965,$$_PILE,BLOCK_TEXT,virtual_block
611동,-15921637.890651923,3456003.148461237,RGB255,BLOCK_TEXT,virtual_block
43.880,-15968989.074094675,3456335.160382891,블록계획고점,BLOCK_TEXT,virtual_block
EL+31.54m,-15801660.708652204,3456412.1592419003,T-text,BLOCK_TEXT,virtual_block
2H-300x300x10x15,-15900119.172614926,3456922.3808615305,-$$TEXT,BLOCK_TEXT,virtual_block
42.011,-15948328.692795657,3456989.662851358,블록계획고점,BLOCK_TEXT,virtual_block
H-22,-15916290.376081431,3457398.1795020527,#시추위치_탄성파탐사,BLOCK_TEXT,virtual_block
FH:42.01,-15948861.432235839,3457549.870677921,블럭체인계획고,BLOCK_TEXT,virtual_block
진동 및 소음에 대한 관리 규정에 따라 계측을 실시하여 민원발생과,-15728668.898557575,3457616.3538584625,Text,BLOCK_TEXT,virtual_block
H-16,-15842725.164724838,3457668.424819434,#시추위치_탄성파탐사,BLOCK_TEXT,virtual_block
Y17,-15757647.684020994,3457772.7383576897,열넘버-ER,BLOCK_TEXT,virtual_block
WALE,-15900132.824824775,3458795.6020243154,-$$TEXT,BLOCK_TEXT,virtual_block
40.850,-15928060.485587977,3458972.344876433,블록계획고점,BLOCK_TEXT,virtual_block
606동,-15799277.597392218,3458972.6370927556,RGB255,BLOCK_TEXT,virtual_block
"암반구성상태에 따라 적합한 발파계획을 수립하여 굴착하여야 하며,",-15728668.898557575,3459858.4283692413,Text,BLOCK_TEXT,virtual_block
B,-15870474.61851338,3459910.976941464,계산용단면,BLOCK_TEXT,virtual_block
41.850,-15928626.874216937,3460890.5383912567,블록계획고점,BLOCK_TEXT,virtual_block
FH(R):43.88,-15970482.477445506,3461392.8829863314,블럭체인계획고,BLOCK_TEXT,virtual_block
43.880,-15970482.591915987,3461393.27075305,블록계획고점,BLOCK_TEXT,virtual_block
43.530,-15949673.82165327,3461545.222971702,블록계획고점,BLOCK_TEXT,virtual_block
FH(L):41.20,-15772504.638790034,3461680.381977821,블럭체인계획고,BLOCK_TEXT,virtual_block
S=1:1.5,-15847745.445669308,3462031.2043228494,터파기,BLOCK_TEXT,virtual_block
"11. 암반 굴착시 주변환경, 인접구조물의 영향, 민원발생 및 당 현장의",-15731754.287443804,3462228.5351920268,Text,BLOCK_TEXT,virtual_block
41.850,-15929193.26284685,3462808.7319062,블록계획고점,BLOCK_TEXT,virtual_block
연평IC,-16025966.195897521,3463051.19177669,_CT_택지현황,BLOCK_TEXT,virtual_block
Y18,-15759195.344265273,3463064.655675244,열넘버-ER,BLOCK_TEXT,virtual_block
FH:41.85,-15929723.317317145,3463370.5474297293,블럭체인계획고,BLOCK_TEXT,virtual_block
40.880,-15908925.338415049,3464792.371610904,블록계획고점,BLOCK_TEXT,virtual_block
전 보강방안을 마련하여야 한다.,-15728621.414925177,3464859.158521565,Text,BLOCK_TEXT,virtual_block
H-19,-15886374.001323096,3465680.7413431657,#시추위치_탄성파탐사,BLOCK_TEXT,virtual_block
+44.70,-16015185.524104178,3466124.475991364,LEVEL,BLOCK_TEXT,virtual_block
43.530,-15951160.54303541,3466580.3157748226,블록계획고점,BLOCK_TEXT,virtual_block
FH(R):43.53,-15951160.652227305,3466580.6854882482,블럭체인계획고,BLOCK_TEXT,virtual_block
41.880,-15909491.727274798,3466710.5659051184,블록계획고점,BLOCK_TEXT,virtual_block
10. 협소공간에서의 포장 및 관로 시공 시 침하 우려가 있으므로 공사,-15731706.803811405,3467229.2653443506,Text,BLOCK_TEXT,virtual_block
43.140,-15930538.391719721,3467364.292077804,블록계획고점,BLOCK_TEXT,virtual_block
H-13,-15809217.10774974,3467441.425866602,#시추위치_탄성파탐사,BLOCK_TEXT,virtual_block
Y19,-15760739.190659761,3468343.532289705,열넘버-ER,BLOCK_TEXT,virtual_block
41.880,-15910058.116133593,3468628.7601993326,블록계획고점,BLOCK_TEXT,virtual_block
FH:41.88,-15910541.159054462,3469204.802248014,블럭체인계획고,BLOCK_TEXT,virtual_block
40.828,-15894634.345789827,3469469.421270231,블록계획고점,BLOCK_TEXT,virtual_block
"금지하여야 하며, 현장 반입시 감리자의 승인을 득하여야 한다.",-15728621.414925177,3469834.9907086766,Text,BLOCK_TEXT,virtual_block
EL+35.04m,-15869887.997003702,3469836.267883523,T-text,BLOCK_TEXT,virtual_block
X1,-15956023.53663184,3470029.9295578003,열넘버-ER,BLOCK_TEXT,virtual_block
40.820,-15889965.297085956,3470162.5471946057,블록계획고점,BLOCK_TEXT,virtual_block
FH:40.58,-15743418.765862467,3470465.5621688194,도로체인계획고,BLOCK_TEXT,virtual_block
NO.0,-15741818.243316256,3470942.246111648,도로체인번호,BLOCK_TEXT,virtual_block
41.828,-15895200.734649576,3471387.615566114,블록계획고점,BLOCK_TEXT,virtual_block
X2,-15950265.960575804,3471718.305020505,열넘버-ER,BLOCK_TEXT,virtual_block
하여 안정해석을 수행하였으므로 품질확인이 불명확한 제품사용을,-15728621.414925177,3472077.0652194554,Text,BLOCK_TEXT,virtual_block
41.820,-15890531.685942844,3472080.7414765414,블록계획고점,BLOCK_TEXT,virtual_block
609동,-15867504.885743717,3472396.745734378,RGB255,BLOCK_TEXT,virtual_block
FH(R):43.14,-15932025.107725047,3472399.3665850405,블럭체인계획고,BLOCK_TEXT,virtual_block
43.140,-15932025.113101862,3472399.3848808054,블록계획고점,BLOCK_TEXT,virtual_block
42.740,-15911403.24496355,3473184.320221925,블록계획고점,BLOCK_TEXT,virtual_block
41.828,-15895767.123509325,3473305.8098617587,블록계획고점,BLOCK_TEXT,virtual_block
Y20,-15762284.257486178,3473626.5819291538,열넘버-ER,BLOCK_TEXT,virtual_block
X3,-15943551.135402882,3473696.2610552018,열넘버-ER,BLOCK_TEXT,virtual_block
41.820,-15891098.074798778,3473998.935758358,블록계획고점,BLOCK_TEXT,virtual_block
FH:41.83,-15893896.185217086,3474267.302304618,블럭체인계획고,BLOCK_TEXT,virtual_block
9. 사업지구에 적용된 사용부재는 고재(고재감소율 0.9 적용)를 사용,-15730678.628554553,3474447.172042241,Text,BLOCK_TEXT,virtual_block
S=1:1.5,-15803510.699913941,3474967.9819240393,터파기,BLOCK_TEXT,virtual_block
FH:41.82,-15891452.97255841,3475010.3922951594,블럭체인계획고,BLOCK_TEXT,virtual_block
X4,-15938272.108994815,3475239.5850221333,열넘버-ER,BLOCK_TEXT,virtual_block
1.8m 치환,-15869878.797296701,3475348.3313730075,Defpoint,BLOCK_TEXT,virtual_block
40.884,-15870654.822196864,3476431.673662925,블록계획고점,BLOCK_TEXT,virtual_block
X5,-15932996.977453165,3476796.492037478,열넘버-ER,BLOCK_TEXT,virtual_block
(유관부서)의 사전 동의를 득한 후 시공하여야 한다.,-15728621.414914988,3477077.7953717792,Text,BLOCK_TEXT,virtual_block
X6,-15929898.040877474,3477689.209232642,열넘버-ER,BLOCK_TEXT,virtual_block
+43.70,-15969543.008295685,3477912.0849634963,LEVEL,BLOCK_TEXT,virtual_block
H-18,-15852793.68106437,3477936.5427963673,#시추위치_탄성파탐사,BLOCK_TEXT,virtual_block
42.400,-15896924.074159846,3478087.143378673,블록계획고점,BLOCK_TEXT,virtual_block
FH(R):42.74,-15912889.919706248,3478219.2549869064,블럭체인계획고,BLOCK_TEXT,virtual_block
42.740,-15912889.966344737,3478219.413025046,블록계획고점,BLOCK_TEXT,virtual_block
41.884,-15871221.210875414,3478349.867342973,블록계획고점,BLOCK_TEXT,virtual_block
B1,-15938414.236897547,3478470.4218716095,계산용단면,BLOCK_TEXT,virtual_block
Y21,-15763823.069598945,3478888.244815522,열넘버-ER,BLOCK_TEXT,virtual_block
42.340,-15892268.09819784,3479004.348339105,블록계획고점,BLOCK_TEXT,virtual_block
P.C Strand Ø12.7mm,-15949101.179543898,3479086.6613965123,-$$TEXT,BLOCK_TEXT,virtual_block
X7,-15924619.014460156,3479232.5332022724,열넘버-ER,BLOCK_TEXT,virtual_block
8. 수급인은 앵커 시공전 지구경계를 넘어 설치되는 경우 토지소유주,-15730631.144922154,3479447.9021945647,Text,BLOCK_TEXT,virtual_block
C1,-15799406.188969603,3479577.5072836853,계산용단면,BLOCK_TEXT,virtual_block
41.884,-15871787.599553011,3480268.061023021,블록계획고점,BLOCK_TEXT,virtual_block
FH:41.89,-15872317.784543667,3480830.2807106264,블럭체인계획고,BLOCK_TEXT,virtual_block
